2024-06-27 21:21:24.183 | INFO     | ir_sim.env.env_logger:info:16 - Figure will be closed within 10 seconds.
2024-06-27 21:25:59.059 | WARNING  | ir_sim.env.env_logger:warning:25 - robot0 is collided at state [np.float64(54.2), np.float64(25.0)]
2024-06-27 21:25:59.060 | WARNING  | ir_sim.env.env_logger:warning:25 - robot0 roll back state
2024-06-27 21:25:59.616 | WARNING  | ir_sim.env.env_logger:warning:25 - robot0 is collided at state [np.float64(54.2), np.float64(25.0)]
2024-06-27 21:25:59.616 | WARNING  | ir_sim.env.env_logger:warning:25 - robot0 roll back state
2024-06-27 21:26:04.467 | WARNING  | ir_sim.env.env_logger:warning:25 - robot0 is collided at state [np.float64(53.2), np.float64(26.18)]
2024-06-27 21:26:04.467 | WARNING  | ir_sim.env.env_logger:warning:25 - robot0 roll back state
2024-06-27 21:26:05.020 | WARNING  | ir_sim.env.env_logger:warning:25 - robot0 is collided at state [np.float64(53.2), np.float64(26.18)]
2024-06-27 21:26:05.021 | WARNING  | ir_sim.env.env_logger:warning:25 - robot0 roll back state
2024-06-27 21:26:05.570 | WARNING  | ir_sim.env.env_logger:warning:25 - robot0 is collided at state [np.float64(53.2), np.float64(26.18)]
2024-06-27 21:26:05.570 | WARNING  | ir_sim.env.env_logger:warning:25 - robot0 roll back state
2024-06-27 21:26:06.119 | WARNING  | ir_sim.env.env_logger:warning:25 - robot0 is collided at state [np.float64(53.2), np.float64(26.18)]
2024-06-27 21:26:06.120 | WARNING  | ir_sim.env.env_logger:warning:25 - robot0 roll back state
2024-06-27 21:26:14.460 | WARNING  | ir_sim.env.env_logger:warning:25 - robot0 is collided at state [np.float64(53.32), np.float64(26.25)]
2024-06-27 21:26:14.461 | WARNING  | ir_sim.env.env_logger:warning:25 - robot0 roll back state
2024-06-27 21:26:15.016 | WARNING  | ir_sim.env.env_logger:warning:25 - robot0 is collided at state [np.float64(53.32), np.float64(26.25)]
2024-06-27 21:26:15.016 | WARNING  | ir_sim.env.env_logger:warning:25 - robot0 roll back state
2024-06-27 21:26:15.576 | WARNING  | ir_sim.env.env_logger:warning:25 - robot0 is collided at state [np.float64(53.32), np.float64(26.25)]
2024-06-27 21:26:15.576 | WARNING  | ir_sim.env.env_logger:warning:25 - robot0 roll back state
2024-06-27 21:26:31.057 | WARNING  | ir_sim.env.env_logger:warning:25 - robot0 is collided at state [np.float64(54.8), np.float64(25.78)]
2024-06-27 21:26:31.058 | WARNING  | ir_sim.env.env_logger:warning:25 - robot0 roll back state
2024-06-27 21:26:31.646 | WARNING  | ir_sim.env.env_logger:warning:25 - robot0 is collided at state [np.float64(54.8), np.float64(25.78)]
